,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Action,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Profit
50,tt0475290,"Hail, Caesar!","Hail, Caesar!",2016,106.0,"['Comedy', 'Drama', 'Music']",22,"Feb 5, 2016","Hail, Caesar!",22000000.0,30080225.0,64160680.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,42160680.0
51,tt0477080,Unstoppable,Unstoppable,2010,98.0,"['Action', 'Thriller']",19,"Nov 12, 2010",Unstoppable,95000000.0,81562942.0,165720921.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70720921.0
52,tt2951338,Unstoppable,Unstoppable,2015,53.0,"['Biography', 'Documentary', 'History']",19,"Nov 12, 2010",Unstoppable,95000000.0,81562942.0,165720921.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,70720921.0
53,tt3070502,Unstoppable,Unstoppable,2013,65.0,['Documentary'],19,"Nov 12, 2010",Unstoppable,95000000.0,81562942.0,165720921.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,70720921.0
54,tt7098772,Unstoppable,Unstoppable,2017,12.0,['Documentary'],19,"Nov 12, 2010",Unstoppable,95000000.0,81562942.0,165720921.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,70720921.0
55,tt9225192,Unstoppable,Seongnan hwangso,2018,116.0,"['Action', 'Crime']",19,"Nov 12, 2010",Unstoppable,95000000.0,81562942.0,165720921.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70720921.0
56,tt9499562,Unstoppable,Unstoppable,2017,52.0,['Documentary'],19,"Nov 12, 2010",Unstoppable,95000000.0,81562942.0,165720921.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,70720921.0
57,tt9906218,Unstoppable,Unstoppable,2019,84.0,['Documentary'],19,"Nov 12, 2010",Unstoppable,95000000.0,81562942.0,165720921.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,70720921.0
58,tt0478304,The Tree of Life,The Tree of Life,2011,139.0,"['Drama', 'Fantasy']",24,"May 27, 2011",The Tree of Life,35000000.0,13305665.0,61721826.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,26721826.0
59,tt8991250,The Tree of Life,The Tree of Life,2018,60.0,['Documentary'],24,"May 27, 2011",The Tree of Life,35000000.0,13305665.0,61721826.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,26721826.0
60,tt0478970,Ant-Man,Ant-Man,2015,117.0,"['Action', 'Adventure', 'Comedy']",43,"Jul 17, 2015",Ant-Man,130000000.0,180202163.0,518858449.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,388858449.0
61,tt0479997,Season of the Witch,Season of the Witch,2011,95.0,"['Action', 'Adventure', 'Fantasy']",89,"Jan 7, 2011",Season of the Witch,40000000.0,24827228.0,91126600.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,51126600.0
62,tt0480255,The Losers,The Losers,2010,97.0,"['Action', 'Adventure', 'Crime']",44,"Apr 23, 2010",The Losers,25000000.0,23591432.0,29863840.0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4863840.0
