,movie_id,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Action
674,tt1967614,5.7,5875,The Comedian,The Comedian,2016,120.0,Comedy,35,"Feb 3, 2017",The Comedian,"$15,000,000","$1,658,706",1658706.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
675,tt2053463,7.1,168466,Side Effects,Side Effects,2013,106.0,"Crime,Drama,Mystery",32,"Feb 8, 2013",Side Effects,"$30,000,000","$32,172,757",66742138.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
676,tt2053463,7.1,168466,Side Effects,Side Effects,2013,106.0,"Crime,Drama,Mystery",29,"Sep 9, 2005",Side Effects,"$200,000","$44,701",44701.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
677,tt2103254,4.9,44345,Tammy,Tammy,2014,97.0,"Comedy,Romance",3,"Jul 2, 2014",Tammy,"$20,000,000","$84,525,432",96407655.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
678,tt2231461,6.1,115891,Rampage,Rampage,2018,107.0,"Action,Adventure,Sci-Fi",90,"Apr 13, 2018",Rampage,"$120,000,000","$101,028,233",428056280.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
679,tt2267968,7.1,116166,Kung Fu Panda 3,Kung Fu Panda 3,2016,95.0,"Action,Adventure,Animation",11,"Jan 29, 2016",Kung Fu Panda 3,"$140,000,000","$143,528,619",517599142.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
680,tt2279373,6.0,43560,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,2015,92.0,"Adventure,Animation,Comedy",74,"Feb 6, 2015",The SpongeBob Movie: Sponge Out of Water,"$74,000,000","$162,994,032",311013181.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
681,tt2296777,5.1,8030,Sherlock Gnomes,Sherlock Gnomes,2018,86.0,"Adventure,Animation,Comedy",54,"Mar 23, 2018",Sherlock Gnomes,"$59,000,000","$43,242,871",87527651.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
682,tt2387559,6.4,70706,Delivery Man,Delivery Man,2013,105.0,"Comedy,Drama",21,"Nov 22, 2013",Delivery Man,"$22,000,000","$30,659,817",70536870.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
683,tt2431286,7.6,88704,Philomena,Philomena,2013,98.0,"Biography,Comedy,Drama",65,"Nov 22, 2013",Philomena,"$12,000,000","$37,709,979",98963392.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
